#           k/h    P           
   0.405520E-03   0.160802E+04
   0.413712E-03   0.163915E+04
   0.422070E-03   0.167088E+04
   0.430596E-03   0.170321E+04
   0.439295E-03   0.173615E+04
   0.448169E-03   0.176973E+04
   0.457222E-03   0.180394E+04
   0.466459E-03   0.183880E+04
   0.475882E-03   0.187433E+04
   0.485496E-03   0.191052E+04
   0.495303E-03   0.194740E+04
   0.505309E-03   0.198498E+04
   0.515517E-03   0.202327E+04
   0.525931E-03   0.206228E+04
   0.536556E-03   0.210203E+04
   0.547395E-03   0.214252E+04
   0.558453E-03   0.218378E+04
   0.569734E-03   0.222581E+04
   0.581244E-03   0.226863E+04
   0.592986E-03   0.231225E+04
   0.604965E-03   0.235668E+04
   0.617186E-03   0.240195E+04
   0.629654E-03   0.244806E+04
   0.642374E-03   0.249503E+04
   0.655350E-03   0.254287E+04
   0.668589E-03   0.259161E+04
   0.682096E-03   0.264124E+04
   0.695875E-03   0.269179E+04
   0.709933E-03   0.274328E+04
   0.724274E-03   0.279572E+04
   0.738906E-03   0.284912E+04
   0.753832E-03   0.290350E+04
   0.769061E-03   0.295888E+04
   0.784597E-03   0.301528E+04
   0.800447E-03   0.307270E+04
   0.816617E-03   0.313117E+04
   0.833114E-03   0.319070E+04
   0.849944E-03   0.325132E+04
   0.867114E-03   0.331303E+04
   0.884631E-03   0.337586E+04
   0.902501E-03   0.343982E+04
   0.920733E-03   0.350493E+04
   0.939333E-03   0.357121E+04
   0.958309E-03   0.363867E+04
   0.977668E-03   0.370734E+04
   0.997418E-03   0.377723E+04
   0.101757E-02   0.384836E+04
   0.103812E-02   0.392074E+04
   0.105910E-02   0.399440E+04
   0.108049E-02   0.406936E+04
   0.110232E-02   0.414563E+04
   0.112459E-02   0.422323E+04
   0.114730E-02   0.430219E+04
   0.117048E-02   0.438251E+04
   0.119413E-02   0.446422E+04
   0.121825E-02   0.454734E+04
   0.124286E-02   0.463188E+04
   0.126797E-02   0.471786E+04
   0.129358E-02   0.480531E+04
   0.131971E-02   0.489424E+04
   0.134637E-02   0.498467E+04
   0.137357E-02   0.507662E+04
   0.140132E-02   0.517010E+04
   0.142963E-02   0.526513E+04
   0.145851E-02   0.536174E+04
   0.148797E-02   0.545994E+04
   0.151803E-02   0.555975E+04
   0.154870E-02   0.566119E+04
   0.157998E-02   0.576426E+04
   0.161190E-02   0.586900E+04
   0.164446E-02   0.597541E+04
   0.167768E-02   0.608352E+04
   0.171158E-02   0.619334E+04
   0.174615E-02   0.630488E+04
   0.178143E-02   0.641817E+04
   0.181741E-02   0.653321E+04
   0.185413E-02   0.665002E+04
   0.189158E-02   0.676861E+04
   0.192980E-02   0.688901E+04
   0.196878E-02   0.701121E+04
   0.200855E-02   0.713524E+04
   0.204913E-02   0.726111E+04
   0.209052E-02   0.738883E+04
   0.213276E-02   0.751840E+04
   0.217584E-02   0.764984E+04
   0.221979E-02   0.778316E+04
   0.226464E-02   0.791837E+04
   0.231039E-02   0.805547E+04
   0.235706E-02   0.819447E+04
   0.240467E-02   0.833539E+04
   0.245325E-02   0.847821E+04
   0.250281E-02   0.862295E+04
   0.255337E-02   0.876962E+04
   0.260495E-02   0.891820E+04
   0.265758E-02   0.906871E+04
   0.271126E-02   0.922115E+04
   0.276603E-02   0.937550E+04
   0.282191E-02   0.953178E+04
   0.287892E-02   0.968998E+04
   0.293708E-02   0.985008E+04
   0.299641E-02   0.100121E+05
   0.305694E-02   0.101760E+05
   0.311870E-02   0.103418E+05
   0.318170E-02   0.105095E+05
   0.324597E-02   0.106790E+05
   0.331155E-02   0.108504E+05
   0.337844E-02   0.110236E+05
   0.344669E-02   0.111987E+05
   0.351632E-02   0.113755E+05
   0.358735E-02   0.115541E+05
   0.365982E-02   0.117345E+05
   0.373376E-02   0.119166E+05
   0.380918E-02   0.121004E+05
   0.388613E-02   0.122859E+05
   0.396464E-02   0.124730E+05
   0.404473E-02   0.126617E+05
   0.412644E-02   0.128520E+05
   0.420980E-02   0.130438E+05
   0.429484E-02   0.132371E+05
   0.438160E-02   0.134318E+05
   0.447012E-02   0.136279E+05
   0.456042E-02   0.138254E+05
   0.465255E-02   0.140241E+05
   0.474653E-02   0.142241E+05
   0.484242E-02   0.144253E+05
   0.494024E-02   0.146276E+05
   0.504004E-02   0.148310E+05
   0.514186E-02   0.150353E+05
   0.524573E-02   0.152405E+05
   0.535170E-02   0.154466E+05
   0.545981E-02   0.156534E+05
   0.557011E-02   0.158609E+05
   0.568263E-02   0.160690E+05
   0.579743E-02   0.162777E+05
   0.591455E-02   0.164867E+05
   0.603403E-02   0.166961E+05
   0.615592E-02   0.169058E+05
   0.628028E-02   0.171156E+05
   0.640715E-02   0.173253E+05
   0.653658E-02   0.175350E+05
   0.666863E-02   0.177443E+05
   0.680335E-02   0.179532E+05
   0.694078E-02   0.181616E+05
   0.708100E-02   0.183694E+05
   0.722404E-02   0.185763E+05
   0.736998E-02   0.187823E+05
   0.751886E-02   0.189872E+05
   0.767075E-02   0.191909E+05
   0.782571E-02   0.193933E+05
   0.798380E-02   0.195941E+05
   0.814509E-02   0.197933E+05
   0.830963E-02   0.199907E+05
   0.847750E-02   0.201861E+05
   0.864875E-02   0.203794E+05
   0.882347E-02   0.205703E+05
   0.900171E-02   0.207586E+05
   0.918356E-02   0.209442E+05
   0.936908E-02   0.211268E+05
   0.955835E-02   0.213063E+05
   0.975144E-02   0.214825E+05
   0.994843E-02   0.216550E+05
   0.101494E-01   0.218238E+05
   0.103544E-01   0.219885E+05
   0.105636E-01   0.221490E+05
   0.107770E-01   0.223050E+05
   0.109947E-01   0.224563E+05
   0.112168E-01   0.226026E+05
   0.114434E-01   0.227437E+05
   0.116746E-01   0.228795E+05
   0.119104E-01   0.230095E+05
   0.121510E-01   0.231336E+05
   0.123965E-01   0.232515E+05
   0.126469E-01   0.233630E+05
   0.129024E-01   0.234678E+05
   0.131631E-01   0.235656E+05
   0.134290E-01   0.236562E+05
   0.137003E-01   0.237393E+05
   0.139770E-01   0.238146E+05
   0.142594E-01   0.238819E+05
   0.145474E-01   0.239410E+05
   0.148413E-01   0.239915E+05
   0.151411E-01   0.240332E+05
   0.154470E-01   0.240659E+05
   0.157590E-01   0.240894E+05
   0.160774E-01   0.241033E+05
   0.164022E-01   0.241075E+05
   0.167335E-01   0.241017E+05
   0.170716E-01   0.240858E+05
   0.174164E-01   0.240595E+05
   0.177683E-01   0.240226E+05
   0.181272E-01   0.239750E+05
   0.184934E-01   0.239165E+05
   0.188670E-01   0.238469E+05
   0.192481E-01   0.237663E+05
   0.196370E-01   0.236743E+05
   0.200337E-01   0.235710E+05
   0.204384E-01   0.234563E+05
   0.208513E-01   0.233302E+05
   0.212725E-01   0.231927E+05
   0.217022E-01   0.230437E+05
   0.221406E-01   0.228834E+05
   0.225879E-01   0.227119E+05
   0.230442E-01   0.225292E+05
   0.235097E-01   0.223356E+05
   0.239847E-01   0.221311E+05
   0.244692E-01   0.219161E+05
   0.249635E-01   0.216909E+05
   0.254678E-01   0.214557E+05
   0.259823E-01   0.212109E+05
   0.265072E-01   0.209570E+05
   0.270426E-01   0.206942E+05
   0.275889E-01   0.204232E+05
   0.281463E-01   0.201446E+05
   0.287149E-01   0.198587E+05
   0.292949E-01   0.195663E+05
   0.298867E-01   0.192680E+05
   0.304905E-01   0.189644E+05
   0.311064E-01   0.186564E+05
   0.317348E-01   0.183447E+05
   0.323759E-01   0.180301E+05
   0.330299E-01   0.177132E+05
   0.336972E-01   0.173951E+05
   0.343779E-01   0.170765E+05
   0.350724E-01   0.167583E+05
   0.357809E-01   0.164412E+05
   0.365038E-01   0.161260E+05
   0.372412E-01   0.158139E+05
   0.379935E-01   0.155057E+05
   0.387610E-01   0.152024E+05
   0.395440E-01   0.149047E+05
   0.403429E-01   0.146132E+05
   0.411579E-01   0.143284E+05
   0.419893E-01   0.140508E+05
   0.428375E-01   0.137806E+05
   0.437029E-01   0.135183E+05
   0.445858E-01   0.132644E+05
   0.454865E-01   0.130197E+05
   0.464053E-01   0.127852E+05
   0.473428E-01   0.125616E+05
   0.482992E-01   0.123495E+05
   0.492749E-01   0.121486E+05
   0.502703E-01   0.119578E+05
   0.512858E-01   0.117763E+05
   0.523219E-01   0.116032E+05
   0.533789E-01   0.114377E+05
   0.544572E-01   0.112788E+05
   0.555573E-01   0.111260E+05
   0.566796E-01   0.109785E+05
   0.578246E-01   0.108354E+05
   0.589927E-01   0.106958E+05
   0.601845E-01   0.105586E+05
   0.614003E-01   0.104230E+05
   0.626407E-01   0.102875E+05
   0.639061E-01   0.101509E+05
   0.651971E-01   0.100117E+05
   0.665142E-01   0.986863E+04
   0.678578E-01   0.971973E+04
   0.692287E-01   0.956334E+04
   0.706272E-01   0.939794E+04
   0.720539E-01   0.922261E+04
   0.735095E-01   0.903669E+04
   0.749945E-01   0.883978E+04
   0.765095E-01   0.863226E+04
   0.780551E-01   0.841483E+04
   0.796319E-01   0.818845E+04
   0.812406E-01   0.795493E+04
   0.828817E-01   0.771614E+04
   0.845561E-01   0.747415E+04
   0.862642E-01   0.723126E+04
   0.880068E-01   0.698963E+04
   0.897847E-01   0.675153E+04
   0.915985E-01   0.651908E+04
   0.934489E-01   0.629441E+04
   0.953367E-01   0.607972E+04
   0.972626E-01   0.587694E+04
   0.992274E-01   0.568777E+04
   0.101232E+00   0.551376E+04
   0.103277E+00   0.535613E+04
   0.105363E+00   0.521520E+04
   0.107492E+00   0.509082E+04
   0.109663E+00   0.498232E+04
   0.111879E+00   0.488771E+04
   0.114139E+00   0.480487E+04
   0.116445E+00   0.473090E+04
   0.118797E+00   0.466258E+04
   0.121197E+00   0.459662E+04
   0.123645E+00   0.452965E+04
   0.126143E+00   0.445860E+04
   0.128691E+00   0.438087E+04
   0.131291E+00   0.429432E+04
   0.133943E+00   0.419783E+04
   0.136649E+00   0.409094E+04
   0.139409E+00   0.397440E+04
   0.142226E+00   0.384954E+04
   0.145099E+00   0.371854E+04
   0.148030E+00   0.358400E+04
   0.151020E+00   0.344921E+04
   0.154071E+00   0.331761E+04
   0.157184E+00   0.319288E+04
   0.160359E+00   0.307835E+04
   0.163598E+00   0.297681E+04
   0.166903E+00   0.288889E+04
   0.170275E+00   0.281400E+04
   0.173715E+00   0.275078E+04
   0.177224E+00   0.269681E+04
   0.180804E+00   0.264895E+04
   0.184457E+00   0.260410E+04
   0.188183E+00   0.255902E+04
   0.191985E+00   0.251042E+04
   0.195863E+00   0.245545E+04
   0.199820E+00   0.239280E+04
   0.203856E+00   0.232288E+04
   0.207974E+00   0.224757E+04
   0.212176E+00   0.216956E+04
   0.216462E+00   0.209198E+04
   0.220835E+00   0.201795E+04
   0.225296E+00   0.195012E+04
   0.229847E+00   0.189027E+04
   0.234490E+00   0.183887E+04
   0.239227E+00   0.179507E+04
   0.244060E+00   0.175700E+04
   0.248990E+00   0.172205E+04
   0.254020E+00   0.168732E+04
   0.259152E+00   0.165011E+04
   0.264387E+00   0.160912E+04
   0.269728E+00   0.156468E+04
   0.275177E+00   0.151760E+04
   0.280736E+00   0.147034E+04
   0.286407E+00   0.142482E+04
   0.292193E+00   0.138280E+04
   0.298096E+00   0.134566E+04
   0.304118E+00   0.131335E+04
   0.310261E+00   0.128424E+04
   0.316529E+00   0.125669E+04
   0.322923E+00   0.122920E+04
   0.329447E+00   0.120033E+04
   0.336102E+00   0.117013E+04
   0.342892E+00   0.113896E+04
   0.349819E+00   0.110841E+04
   0.356885E+00   0.107951E+04
   0.364095E+00   0.105320E+04
   0.371450E+00   0.102902E+04
   0.378954E+00   0.100679E+04
   0.386609E+00   0.985304E+03
   0.394419E+00   0.963560E+03
   0.402387E+00   0.941554E+03
   0.410516E+00   0.919426E+03
   0.418809E+00   0.897912E+03
   0.427269E+00   0.877449E+03
   0.435901E+00   0.858410E+03
   0.444706E+00   0.840469E+03
   0.453690E+00   0.823131E+03
   0.462855E+00   0.806069E+03
   0.472206E+00   0.788986E+03
   0.481745E+00   0.772214E+03
   0.491477E+00   0.756084E+03
   0.501405E+00   0.740661E+03
   0.511534E+00   0.725928E+03
   0.521868E+00   0.711688E+03
   0.532411E+00   0.697697E+03
   0.543166E+00   0.683957E+03
   0.554139E+00   0.670518E+03
   0.565333E+00   0.657574E+03
   0.576753E+00   0.645073E+03
   0.588404E+00   0.632928E+03
   0.600291E+00   0.621068E+03
   0.612418E+00   0.609438E+03
   0.624789E+00   0.598110E+03
   0.637411E+00   0.587067E+03
   0.650288E+00   0.576318E+03
   0.663424E+00   0.565836E+03
   0.676826E+00   0.555595E+03
   0.690499E+00   0.545573E+03
   0.704448E+00   0.535756E+03
   0.718679E+00   0.526140E+03
   0.733197E+00   0.516719E+03
   0.748009E+00   0.507486E+03
   0.763119E+00   0.498433E+03
   0.778536E+00   0.489549E+03
   0.794263E+00   0.480821E+03
   0.810308E+00   0.472241E+03
   0.826677E+00   0.463801E+03
   0.843378E+00   0.455495E+03
   0.860415E+00   0.447317E+03
   0.877797E+00   0.439262E+03
   0.895529E+00   0.431321E+03
   0.913620E+00   0.423490E+03
   0.932076E+00   0.415761E+03
   0.950906E+00   0.408130E+03
   0.970115E+00   0.400592E+03
   0.989713E+00   0.393143E+03
   0.100971E+01   0.385781E+03
   0.103010E+01   0.378503E+03
   0.105091E+01   0.371304E+03
   0.107214E+01   0.364181E+03
   0.109380E+01   0.357131E+03
   0.111590E+01   0.350152E+03
   0.113844E+01   0.343241E+03
   0.116144E+01   0.336400E+03
   0.118490E+01   0.329626E+03
   0.120884E+01   0.322919E+03
   0.123326E+01   0.316278E+03
   0.125817E+01   0.309701E+03
   0.128359E+01   0.303189E+03
   0.130952E+01   0.296739E+03
   0.133597E+01   0.290354E+03
   0.136296E+01   0.284033E+03
   0.139049E+01   0.277778E+03
   0.141858E+01   0.271590E+03
   0.144724E+01   0.265469E+03
   0.147648E+01   0.259415E+03
   0.150630E+01   0.253429E+03
   0.153673E+01   0.247511E+03
   0.156778E+01   0.241665E+03
   0.159945E+01   0.235890E+03
   0.163176E+01   0.230188E+03
   0.166472E+01   0.224561E+03
   0.169835E+01   0.219010E+03
   0.173266E+01   0.213535E+03
   0.176766E+01   0.208138E+03
   0.180337E+01   0.202819E+03
   0.183980E+01   0.197581E+03
   0.187697E+01   0.192423E+03
   0.191489E+01   0.187349E+03
   0.195357E+01   0.182358E+03
   0.199304E+01   0.177451E+03
   0.203330E+01   0.172629E+03
   0.207437E+01   0.167893E+03
   0.211628E+01   0.163243E+03
   0.215903E+01   0.158679E+03
   0.220265E+01   0.154203E+03
   0.224714E+01   0.149814E+03
   0.229254E+01   0.145513E+03
   0.233885E+01   0.141301E+03
   0.238610E+01   0.137176E+03
   0.243430E+01   0.133138E+03
   0.248348E+01   0.129189E+03
   0.253365E+01   0.125326E+03
   0.258483E+01   0.121551E+03
   0.263705E+01   0.117862E+03
   0.269032E+01   0.114259E+03
   0.274466E+01   0.110741E+03
   0.280011E+01   0.107307E+03
   0.285668E+01   0.103957E+03
   0.291439E+01   0.100690E+03
   0.297326E+01   0.975054E+02
   0.303332E+01   0.944015E+02
   0.309460E+01   0.913777E+02
   0.315712E+01   0.884329E+02
   0.322090E+01   0.855659E+02
   0.328596E+01   0.827757E+02
   0.335234E+01   0.800611E+02
   0.342006E+01   0.774207E+02
   0.348916E+01   0.748534E+02
   0.355964E+01   0.723579E+02
   0.363155E+01   0.699329E+02
   0.370491E+01   0.675770E+02
   0.377976E+01   0.652890E+02
   0.385611E+01   0.630676E+02
   0.393401E+01   0.609113E+02
   0.401348E+01   0.588189E+02
   0.409456E+01   0.567890E+02
   0.417727E+01   0.548204E+02
   0.426166E+01   0.529116E+02
   0.434775E+01   0.510613E+02
   0.443558E+01   0.492683E+02
   0.452519E+01   0.475313E+02
   0.461660E+01   0.458488E+02
   0.470987E+01   0.442196E+02
   0.480501E+01   0.426424E+02
   0.490208E+01   0.411158E+02
   0.500111E+01   0.396387E+02
   0.510214E+01   0.382097E+02
   0.520521E+01   0.368273E+02
   0.531036E+01   0.354901E+02
   0.541763E+01   0.341968E+02
   0.552708E+01   0.329460E+02
   0.563873E+01   0.317365E+02
   0.575264E+01   0.305669E+02
   0.586885E+01   0.294362E+02
   0.598741E+01   0.283430E+02
   0.610836E+01   0.272863E+02
   0.623176E+01   0.262650E+02
   0.635765E+01   0.252780E+02
   0.648609E+01   0.243248E+02
   0.661711E+01   0.234044E+02
   0.675079E+01   0.225164E+02
   0.688716E+01   0.216599E+02
   0.702629E+01   0.208341E+02
   0.716823E+01   0.200385E+02
   0.731304E+01   0.192720E+02
   0.746077E+01   0.185341E+02
   0.761149E+01   0.178239E+02
   0.776525E+01   0.171406E+02
